Title,Subtitle,Product Description
Nike Air,Men's French Terry Joggers,"Rooted in footwear origins and giving a nod to the greatest franchise in Air, these French terry joggers have a tonal silicone bevelled Nike Air logo on the thigh. They're designed with some extra room through the seat and thighs, with reflective-design bungees on the cuffs for easy adjustment and a clean, comfortable finish. Pull them on and stay true to the powerful history and culture of Air."
Nike Sportswear Premium Essentials,Men's Long-Sleeve T-Shirt,"The Nike Sportswear Long-Sleeve T-Shirt has a loose fit for a carefree, comfortable look. Its heavyweight organic cotton fabric feels thick and soft. A subtle Futura logo at the centre of the front of the T-Shirt offers a signature Nike look while a set-on collar ensures a clean, comfortable fit. This product is made from at least 75% organic cotton fibres."
Nike Dri-FIT Miler,Men's Running Tank,"Get those extra miles in with a top that won't hold you up. Our sweat-wicking Miler Tank returns with a longer body and ultra-lightweight fabric, so you get more coverage without the weight. It's cool and breathable, with a relaxed fit that won't slow you down."
Jordan 23 Engineered,Men's Fleece Trousers,"Designed for elevated comfort, these 23 Engineered joggers are ready for you, whatever you do. Made from super-soft brushed fleece and sporting details like darted knees and overlay stitching, they're anything but standard."
Jordan x TITAN,Men's T-Shirt,"Comfortable, casual and reppin' the premiere basketball concept store in the Philippines—what else could you need? The graphic on this soft Jordan x TITAN tee celebrates Filipino basketball heritage while an all-over wash effect gives the look of perfectly faded vintage."
Jordan Essentials,Men's Woven Trousers,"Get moving in trousers that flex with you. This relaxed pair is made from lightweight, stretch-woven fabric textured with suede-like softness."
Nike Zenvy,Women's Gentle-Support High-Waisted 7/8 Leggings,"Whether it's yoga or a bike ride or a walk, you can move freely in our unbelievably soft Nike Zenvy leggings. Their InfinaSoft fabric is lightweight—but still squat-proof!—with softness that you can feel with every bend, stretch and shift. Fewer pockets give you a streamlined look, but the drop-in pocket in the middle of the back is still big enough to hold your phone. Plus, they're durable enough for you to move, wash and wear again and again."
Nike Sportswear Circa 96,Women's French Terry Hoodie,"Take it back to basketball in '96—the shorts were baggier, the jerseys were longer and the WNBA was about to change the game forever. Celebrate some throwback Nike style with this cosy French terry hoodie. Extra room in the body gives you a relaxed feel and a bold look."
Nike Sportswear Circa 96,Women's High-Waisted French Terry Trousers,"Take it back to basketball in '96—the shorts were baggier, the jerseys were longer and the WNBA was about to change the game forever. Celebrate some throwback Nike style with these cosy French terry trousers. Extra room in the legs gives you a relaxed feel and a bold look."
Nike Sportswear,Women's Terry Quilted Jacket,"Add a little fluff to your favourites—without adding too much warmth—with the help of this cropped terry fabric jacket. With extra room in the arms and body, its oversized fit makes layering easy."
Nike Repel,Women's Trail-Running Jacket,"Layer up and go for your miles in this packable, sweat-wicking jacket. With ultra-soft woven fabric and an adjustable hood, you'll stay comfy as you explore new trails."
Nike Dri-FIT Repel,Women's Mid-Rise 8cm (approx.) Brief-Lined Trail Running Shorts with Pockets,"Journey off the beaten path on runs of all lengths in these water-repellent shorts. Using insights from trail runners, we added plenty of storage options for snacks, keys and even a place to hang your top when you need to shed a layer."
Nike Sportswear Essential,Women's Bodysuit Tank,"With its soft, stretchy fabric and statement-making shape, this tight-fitting bodysuit gives you options. On its own, its asymmetrical cutouts offer a sleek, athletic look. Under a button-up or your favourite sweatshirt, it's a stay-put layer that bends and stretches with your every move."
Nike Dri-FIT Trail,Women's Short-Sleeve Tee,"Blaze your own way in this sweat-wicking tee. With a roomy fit through the body, this tee is sure to become one of your running staples when you move off the beaten path."
Serena Williams Design Crew,Women's Woven Jacket,"The Serena Williams Design Crew dived deep into the world of digital rarities and art to bring this classic hooded jacket new life. Extra room through the sleeves and body gives you plenty of space to layer up when you need to and slide from one multiverse to the next with ease. Fully lined and water-repellent, you can feel prepared no matter what the next dimension throws at you."
Nike Dri-FIT Race,Women's Short-Sleeve Running Top,Lightweight fabric and a streamlined design keep you speeding for the finishing line in the Nike Dri-FIT Race Top. Mesh in key areas helps keep you cool with every step. This product is made from 100% recycled polyester fibres.
Nike Swoosh On The Run,Women's Medium-Support Lightly Lined Sports Bra with Pockets,"Feel confident and go all out—without having to leave anything behind—in this medium-support sports bra. 3 mesh-lined pockets hold your phone, a snack or an extra layer so you can explore without limits. The lightweight, sewn-in spacer lining feels breathable while still giving you a little coverage, and sweat-wicking tech helps you keep your cool on the run."
Nike Sportswear,Women's High-Waisted Wide-Leg Terry Trousers (Plus Size),"Add a little fluff to your favourites—without adding too much warmth—with the help of terry fabric. The extra-long, wide legs of these trousers add height to your look while taller ribbing at the waist ensure your look is anything but basic."
Nike Sportswear Circa 96,Women's Woven Jacket,"Take it back to basketball in '96—the shorts were baggier, the jerseys were longer and the WNBA was about to change the game forever. Snap up this roomy anorak for a little extra shine and style. The exterior satin fabric is smooth and extra soft while the lining feels cosy warm and slides over layers easily."
Nike Sportswear,Women's Oversized Long-Sleeve T-Shirt,"Show off your fierce spirit in this graphic tee. Made from soft cotton in a roomy fit, it gives you a perfectly relaxed look."
Nike Sportswear Tech Fleece Windrunner,Women's Full-Zip Hoodie,The Nike Sportswear Tech Fleece Hoodie is made from double-sided spacer fabric to harness your body heat to create added warmth without extra bulk or weight.
Nike Sportswear Essential,Women's Mid-Rise Trousers,"Made from a lightweight, recycled crinkle woven fabric and featuring a roomy fit, the Nike Sportswear Essential Easy Woven Trousers are all about comfort. An inset Swoosh logo on the leg provides a signature Nike look ready to pair with your favourite sneakers. This product is made from 100% recycled polyester and recycled nylon fibres."
Nike One,Women's Mid-Rise 7/8 Graphic Leggings,"The Nike One Leggings are super-versatile for any workout—or any time. The comfortable design wicks sweat to help keep you dry. Plus, you can't see through the fabric, so you can feel confident knowing you're covered. This product is made from at least 50% recycled polyester fibres."
Nike Sportswear Dri-FIT Tech Pack,Women's Woven Polo,"Move easily from one task to the next in this cropped, woven polo. Made with Dri-FIT Technology to help keep you cool and dry, it's an extra-airy, relaxed-fitting option perfect for warmer days. The darts on the bottom hem add a tailored look."
Nike Dri-FIT,Women's Training Tank,Stay soft—but strong—in this knit jersey fabric tank. Sweat-wicking tech and an easy fit work together to keep you dry and comfortable from warm-up through cool-down.
Nike Alpha,Women's High-Support Padded Zip-Front Sports Bra,"This bra gives you our highest level of support with a compressive feel and minimal bounce for a secure fit. A front zip and moulded cups provide shaping, and it adjusts at the back so you can feel comfortably contained—yet still able to breathe. Ventilation on the front and back helps you stay cool through the heat of your workout. This product is made from at least 50% recycled polyester fibres."
Nike Swoosh,Women's Medium-Support Padded Zip-Front Sports Bra,"Start low, go high. The ideal layer for just about any workout, the Nike Dri-FIT Swoosh Zip-Front Sports Bra takes the classic design to the next level, with fabric made from at least 75% recycled polyester fibres. It's easy to get on and off, while the semi-auto lock zip helps keep it from coming unzipped. It also helps keep you cool with breathable mesh on the back. For every rep, step and jump—know that you're supported."
Nike Air Dri-FIT,Women's Short-Sleeve 1/4-Zip Running Top,"Add some Air to your run with this stretchy, 1/4-zip top. A curved back hem helps keep you covered through your stride while sweat-wicking tech helps you stay cool and dry from start to finish."
Nike Sportswear,Women's Oversized Crop Fleece Polo Sweatshirt,"As classic as your favourite polo tee but with all the comfort of your most cosy sweatshirt. Our midweight brushed fleece feels extra soft on the inside and smooth on the outside, helping you stay cosy while keeping its structured shape. Embroidered details add a touch of sporty, collegiate style while an oversized fit and cropped design make a bold statement."
Nike Pro 365,Women's 13cm (approx.) Shorts,"The Nike Pro 365 Shorts wrap you in stretchy fabric featuring Dri-FIT Technology, to keep you feeling supported and dry during intense workouts. This product is made from at least 50% recycled polyester fibres."
Nike One,Women's High-Rise Leggings,"Above all else, you need flexibility in your routine and in what you wear to train. These lightweight leggings are the second skin you'll want to live in. Made from silky-soft fabric that you can't see through, they keep you confidently covered for any workout—and the rest of your day. This product is made from at least 50% recycled polyester fibres."
NikeCourt Victory,Women's Tennis Tank,"The NikeCourt Victory Tank is a soft, stretchy court essential that wicks sweat so you can stay focused on your match. This product is made from at least 75% recycled polyester fibres."
Nike Sportswear Phoenix Fleece,Women's High-Waisted Wide-Leg Tracksuit Bottoms,"Rise up and transform your fleece wardrobe with strong cosy vibes. The extra-long wide leg and hem vents of these Phoenix Fleece trousers let you show off your favourite shoes, while taller ribbing at the waist and an exaggerated drawcord ensure your look is anything but basic."
Nike Pro,Women's Mid-Rise Leggings,"The Nike Pro Leggings are made from sweat-wicking fabric and with mesh across the calves to keep you cool and dry.Soft, stretchy fabric moves with you as you sprint, lunge and stretch.This product is made from at least 50% recycled polyester fibres."
Nike Pro Dri-FIT,Women's Short-Sleeve Cropped Graphic Training Top,"Keep dry and moving freely during high-heat workouts in this cropped top. Soft, stretchy elastane feels smooth against your skin, and the top is made with our sweat-wicking technology to help you stay dry from your first set to your final rep."
Nike Sportswear City Utility,Women's High-Waisted French Terry Trousers,"Push your on-the-go style beyond in these high-waisted, relaxed trousers. Smooth on the outside with unbrushed loops on the inside, their midweight French terry fabric is comfy enough for you to wear throughout the year, whatever the temperature. Top stitching and extra roomy pockets give these trousers the long-lasting durability and utility of workwear."
Nike Air,Women's Running Jacket,"Add a little Air to your run in this loose-fitting, lightweight jacket. A high neckline with a smaller hood opening is paired with a water-repellent finish to help you stay dry when the rain threatens to dampen your route."
Nike Dri-FIT One Luxe,Women's Standard Fit Short-Sleeve Top,"The Nike Dri-FIT One Luxe Top is designed for all the ways you work out—from yoga to HIIT to long runs. As part of the Nike Luxe line, this top defines luxury with buttery-soft and smooth fabric that breathes to keep you dry and cool. It's made from at least 75% recycled polyester fibres."
Serena Williams Design Crew,Women's Slim-fit Mock-neck Long-sleeve T-shirt,"Stay warm and comfortable on days when the air conditioning feels a touch too cold in this fitted mock-neck tee. Inspired by digital rarities found in the metaverse, a digital print and contrast stitching offer a look ready for tomorrow's most technical trends."
Nike Dri-FIT Race,Women's Running Vest,Lightweight fabric and a streamlined design keep you speeding for the finishing line. The Nike Dri-FIT Race Vest has mesh in key areas to help keep you cool with every step. This product is made from 100% recycled polyester fibres.
Nike Therma-FIT One,Women's Graphic Long-Sleeve Top,"Designed for all the ways you move, this easy-fitting top is made from soft fleece that keeps you warm to, from and even during your workout. High-stretch fabric with sweat-wicking power flexes with every move while helping you stay dry."
Nike Flex Essential 2-in-1,Women's Training Shorts,"The Nike Flex Essential 2-in-1 Shorts have a tight, stretchy base layer underneath a loose, woven outer layer. They give you plenty of flexibility and have sweat-wicking technology to keep you dry and comfortable."
Nike Air,Women's 7/8-Length High-Rise Running Leggings,"Express yourself with a look inspired by those outdoor runs in the fresh air. The Nike Air Dri-FIT Leggings get you through the finish with a smooth, breathable feel. Want to bring along a key or card? Plenty of storage keeps those essentials—and more—secure."
Jordan Sport,Women's Logo Leggings,"Upgrade your everyday with leggings that know how to perform. Made from smooth, flexible fabric with Dri-FIT sweat-wicking tech, they hug your body and stretch with you as you move."
Nike Sportswear,Women's High-Waisted Wide-Leg Terry Trousers,"Add a little fluff to your favourites—without adding too much warmth—with the help of terry fabric. The extra-long, wide legs of these trousers add height to your look while taller ribbing on the waist and an exaggerated, silver-tipped drawcord ensure your look is anything but basic."
Nike Swoosh,Women's Brief-Lined Running Shorts,"These shorts are the ones that are ready to go wherever your run takes you. Their silky-smooth, ultra-soft woven fabric is balanced with sweat-wicking tech so you have ultimate comfort while feeling dry as your miles tick by."
Nike Dri-FIT Alate Ellipse,Women's Medium-Support Padded Longline Sports Bra,"Feel confident all day long in this medium-support Alate bra. A sewn-in 1-piece pad and longline silhouette offer enhanced coverage and shaping while sweat-wicking technology keeps you cool and comfortable. The InfinaSoft fabric of the body and straps feels like you're being hugged by a silky cloud and stretches easily, giving you the ultimate freedom of movement. You might just forget you're wearing a bra at all."
Nike Dri-FIT Victory,Women's Striped Golf Polo,"We took your favourite polo and gave it a feel-good update. This Victory Polo is crafted from lightweight, breathable fabric that's made from 100% recycled polyester fibres. This otherwise-classic design has a slightly longer, 4-button placket that keeps your look fresh."
Nike Dri-FIT Bliss,Women's High-waisted 7/8 Trousers,"Find your bliss through movement in these sweat-wicking, tailored trousers. The wide, stretchy waistband offers support while sleek, feather-light fabric—with plenty of stretch—flows with you so you can move without boundaries. With a drop-in pocket on the left hip and a zip pocket on the right, you can keep your essentials close."
Nike Sportswear Essential,Women's Short-sleeve T-Shirt Dress,"As comfy and easy to throw on as your favourite tee, this dress is ready for whatever you are. A curved hem and a flowy, oversized fit add a chic twist to a wardrobe staple."
Nike One,Women's High-Waisted 7/8 Leggings,"Up for a workout or down to chill—the Nike One leggings are a versatile layer, ready for whatever you are. The incredibly comfortable design wicks sweat away to help you stay dry. Plus, with fabric thick enough to keep you covered, you can stay confident."
Jordan Flight,Women's Knit Top,"Cute, cropped, 'n' loose—you'll bloom to life in this springtime knit top. Featuring a keyhole opening for breathability and vertical stripes for contour, this top's understated design lets you shine this season. It's designed to fall high on your midsection and made with extra room for a roomy feel that won't constrict you."
Nike Air Force 1 '07,Women's Shoes,"You'll score major points in this legendary classic. Crossing hardwood comfort with off-court flair, this hoops original pairs crisp leather with playful paisley-print accents for nothing-but-net style. Plus, hidden Nike Air units and durable '80s construction add the comfort you've come to expect from the AF-1."
Nike Air Force 1 '07 LX,Women's Shoes,"In sneaker history, few styles last. Only 1 transcends every era—the Nike Air Force 1 '07 LX. Celebrate perfection with the b-ball original that delivers what you know best: woven fabric, bold details and some extra flash to keep you shining."
Nike Air Force 1 PLT.AF.ORM LV8,Women's Shoes,"You have to look closely at these unique kicks to find what makes us smile. With leather that ages to soft perfection, a sculpted collar and soft foam underfoot, the PLT.AF.ORM LV8 lets classic, easy-to-wear AF-1 style rise to new heights. Its elegantly shaped and lifted midsole delivers a proud, fresh look to the hoops franchise while pops of colour and subtle smiley face details keep your every step happy."
Nike AF-1 Shadow,Women's Shoes,"Exaggerated, double overlays make the Nike AF-1 Shadow double the fun. The bold, playful design has reflective-design details and a comfy foam midsole."
Nike Air Force 1 '07,Women's Shoes,"The radiance lives on with the b-ball original. Crossing hardwood comfort with off-court flair, it puts a fresh spin on what you know best: era-echoing, '80s construction, bold details and nothin'-but-net style."
Air Jordan 1 Mid,Women's Shoes,"The Air Jordan 1 Mid brings full-court style and premium comfort to an iconic look. Its Air-Sole unit cushions play on the hardwood, while the padded collar gives you a supportive feel."
Air Jordan 1 Mid SE,Women's Shoes,"This AJ1 is all about love. Self-love, love of the game, love for life—whatever the L-word evokes for you, this foray into floral footwear symbolises the passions that push you forwards. Want to get in the weeds? Just open the box: special-edition packaging names every flower in the bouquet, plus their hidden meanings. Or you can tear past the paper and let the beauty of the blooms gracing the collar and keepsake hang tag speak for themselves. Either way, you (and the whole world) are going to fall in love with your look."
Nike Air Max Bliss SE,Women's Shoes,"Intertwining functionality with fashion, the Air Max Bliss lets you bring chic style outdoors. From rustic colours to desert-inspired textures (including faux snakeskin), it delivers the perfect amount of wild. 2-tone laces nod to traditional hiking boots, while the plush design pairs soft cushioning with pillowy padding around the ankle. Where will your adventure take you?"
Nike Waffle Debut Vintage,Women's Shoes,"We've got a secret: these retro kicks are brand spanking new. Done in fluffy suede and airy textile, they deliver era-echoing, '70s style with modern comfort. An updated wedge midsole gives the cushioning a serious boost, while maintaining the iconic Waffle outsole you know and love."
Nike Waffle Debut,Women's Shoes,"Retro gets modernised with these sleek sneakers inspired by the Nike Daybreak. Era-echoing suede and nylon are paired in complementary colours, and the updated wedge midsole gives you an extra lift. Style, comfort, iconic Waffle outsole—this is a perfect new addition to your daily rotation."
Air Jordan 1 Elevate Low,Women's Shoes,"Rise to the occasion in style that soars. This shoe reworks an icon's original magic with a platform sole and low-cut silhouette. Air cushioning keeps you lifted, and sleek leather in contrasting colours adds visual interest."
Nike Air Max 97,Women's Shoes,"Let your style unfold in the Air Max 97, initially inspired by micromachine transformers. Taking the revolutionary full-length Nike Air cushioning that shook up the running world and adding fresh materials, it lets you ride in first-class comfort."
Nike React Infinity 3,Women's Road Running Shoes,"Stay on your feet with soft and supportive cushioning, built to help keep you on the run. A wider forefoot and higher foam stacks help shield you from recurring attrition, giving you the peace of mind to pound the pavement every day. The springy responsiveness will surprise you too, adding an element of pure speed to 1 of our most tested shoes to help you go longer, faster and further than ever."
Nike Winflo 9 Premium,Women's Road Running Shoes,"Featuring a balanced ride to help kick-start your run, the Winflo 9 gives you the support you need to match your speed. It has a secure fit that helps keep your foot in place as the miles go by. We added plenty of foam through the midsole, giving you extra pep to every step. So load up your favourite tunes in this musically themed design, lace up, lock in and win your goals."
Nike React Infinity 3 Premium,Women's Road Running Shoes,"Stay on your feet with soft and supportive cushioning, built to help keep you on the run. A wider forefoot and higher foam stacks help cushion you from recurring attrition, giving you the peace of mind to pound the pavement every day. The springy responsiveness will surprise you too, adding an element of pure speed to 1 of our most tested shoes to help you go longer, faster and further than ever."
Nike Air Force 1 '07 Next Nature,Women's Shoes,"No foul, all play. Made from at least 20% recycled materials by weight, the original that wrote sneaker history gets updated with synthetic leather."
Nike Air Force 1 Shadow,Women's Shoes,"The Nike Air Force 1 Shadow puts a playful twist on a classic b-ball design.Using a layered approach, doubling the branding and exaggerating the midsole, it highlights AF-1 DNA with a bold, new look."
Nike Air Force 1 PLT.AF.ORM,Women's Shoes,"Let classic, easy-to-wear AF-1 style rise to the occasion with the Nike Air Force 1 PLT.AF.ORM. Its elegantly shaped and lifted midsole delivers a proud, new voice to the hoops franchise. The leather on the upper breaks in easily and ages to soft perfection while the sculpted collar and pillowy heel keep it comfy. Captivate your audience."
Nike Zoom SuperRep 4 Next Nature Premium,Women's HIIT Class Shoes,"The quad-burning box jumps that bring your ""why"" into focus. The sweat-soaked super-sets that leave you bent over double. This is what you live for: the struggle, the moment of truth, the breakthrough, the transformation. Designed for quick bursts of force, heart-thumping tempo changes and fast-paced workouts, this shoe helps push you to fresh HIIT heights."
Nike Free Metcon 4 Premium,Women's Training Shoes,"The Nike Free Metcon 4 Premium combines flexibility with stability to help you get the most out of your training programme. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room."
Nike Dunk Low Disrupt 2,Women's Shoes,"Re-imagining the hoops icon through a lens of self-expression, the Dunk Low Disrupt 2 bridges tried-and-tested style with a customisable design. Double eyestays pair with an offset bottom eyelet (and an extra set of laces) for a unique twist that lets you personalise your look, while its playful layering and rich textures energise every step."
Nike Air Max 90 SE,Women's Shoes,"Nothing as fly, nothing as comfortable, nothing as proven. The Nike Air Max 90 stays true to its roots with its iconic Waffle outsole, durable stitched overlays and classic plastic accents. A mix of blue, grey and silver adds a touch of sporty retro style to this special edition while visible Max Air keeps the comfortable cushioning you love."
Air Jordan 1 Retro High OG,Women's Shoes,"Game on! Inspired by MJ's school days, this energetic colourway brings A+ energy to the streets. Bold bursts of Game Royal and Varsity Maize let you join the team in style, while subtly weathered leather ups the vintage appeal. Crafted details, like the woven tongue label, hang tag and Wings logo, add a premium boost to any outfit. And the finishing touch? Nike Air cushioning underfoot lets you keep pace, so nothing holds you back from showing off your legendary look."
Nike Dunk High Premium,Women's Shoes,"No wardrobe is complete without aged and weathered leather. Bridging vintage style with hoops DNA, the '80s b-ball icon returns with premium leather that's been perfectly softened for a timeless look. Natural variations in the upper (don't worry, they're still ready for everyday wear) make it look like you've been styling them for years, while giving your kicks an elevated feel. Oh, and the plush, high-top collar lets you take your game anywhere—in comfort."
Nike Dunk Low,Women's Shoes,Love is simple—and this uplifting Valentine's Day take on the Dunk Low keeps it uncomplicated. The silky-smooth leather overlays and richly textured leather underlays add a luxe sensation that's easy to fall for while the super-wearable colours keep you coming back to 'em again and again. And that little yellow heart on the heel? Let's just say first impressions matter and this one's gonna leave a smile.
Nike Air Max 90 Futura x Serena Williams Design Crew,Shoes,"With its handcrafted feel and mixed materials, this Serena-inspired design delivers a sophisticated look that celebrates you being you. Easy-to-style colours let you wear it again and again, while energetic details like intricate layering and fresh branding bring a special aura to any outfit. Oh, and because we believe discovery is part of the fun, we've hidden small treasures throughout the shoes. Lace up and reveal your potential."
Air Jordan 1 Elevate High,Women's Shoes,"Classic Jordan style reaches new heights in this lifted AJ-1. The platform stance and high-top collar make a statement, while crisp leather and flashy finishes make these kicks the winning assist your outfit needs. For added flex, the puffy, stitched-on Wings ""logo"" delivers big (and just wait until you feel the ultra-comfortable Air cushioning underfoot). Go ahead, elevate your game."
Air Jordan 1 Zoom CMFT 2 'Valentines Day',Women's Shoes,"Any time, anywhere, spread the love with some new Js this Valentines Day. From words of affirmation ('Damn, those look good!') to feelings of pure on-foot bliss (check out the lush velvet accents and springy Nike Zoom Air cushioning), these kicks know all the ways to make your heart go pitter-patter. The recessed Swoosh and updated collar bring a sweet look and feel to the classic design, and the richly textured leather is more decadent than a box of chocolates. Love yourself first—that's all we're saying."
Nike Metcon 8 Premium,Women's Training Shoes,"You chase the clock, challenging and encouraging each other all in the name of achieving goals and making gains. Our go-to model for training relies on a lighter, more breathable upper than our previous iteration to complement our standards of durability and comfort, so that you can float through your cardio, power through your lifts and dominate your workouts."
Nike Zoom Bella 6 Premium,Women's Training Shoes,"Unleash your innermost strength and spirit in the Nike Zoom Bella 6 Premium. This design supports heavy lifts, explosive movements and primal post-set struts as you flaunt your hard-earned progress on the gym floor. Newly implemented Zoom Air cushioning gives you pop, and an updated forefoot ensures all sorts of foot shapes can flex through their workouts in true style."
Nike Air Max SC SE,Women's Shoes,"Intertwining functionality with fashion, the Air Max SC SE lets you bring chic style outdoors. From rustic colours to desert-inspired textures (including faux snakeskin), it delivers the perfect amount of wild. Textured laces nod to traditional hiking boots, while the Waffle outsole and visible Nike Air keep the coveted '80s look you love. Where will your adventure take you?"
Nike Air Max 90 AMD,Women's Shoes,"Intertwining functionality with fashion, we're honouring Air Max Month with an AM90 inspired by the outdoors. From rustic colours to desert-inspired textures (including faux snakeskin), it delivers the perfect amount of wild. 2-tone laces nod to traditional hiking boots, while the Waffle outsole and visible Nike Air keep the coveted '90s look you love. Where will your adventure take you?"
Nike Zegama,Women's Trail-running Shoes,"Navigate the up and downs of uncompromising terrain with the Nike Zegama. Developed with great grip and stability, it has you covered, so you can keep climbing and reach greater personal heights when the going gets grimy and gritty. Whether it's a challenging, rocky landscape going uphill or a steep, slick decline down a treacherous trail, feel confident when you decide to off-road it."
Nike Alphafly 2,Women's Road Racing Shoes,"Once you take a few strides in the Nike Alphafly 2, you'll never look at your favourite pair of old racing shoes the same way again. These rocket ships are made to help shave precious time off your personal records without surrendering the foundation you need to go the full distance. A thick, lightweight support system marries the 2 worlds of comfort and speed in holy running matrimony. Enjoy the greatest energy return of all our racing shoes while you chase your personal bests and leave the competition in the dust."
Nike Tempo,Men's Road Running Shoes,"While these speedsters could easily pass the test on race day, they double as your go-to shoe for your training routine. The supportive fit and soft cushioning work together to make them comfortable enough to withstand those double-digit mileage days, and light enough to help quicken your tempo when the time is right."
Air Jordan 1 Mid SE,Women's Shoes,"With these mid-top AJ-1s, you don't have to choose a favourite colour. Contrasting panels make these sneaks stand out, proving that every side is your good side. Durable leather up top and Air cushioning underfoot make 'em perfect for all-day wear—so lace up, and let the complements roll in."
Air Jordan 1 Mid SE,Women's Shoes,"'Tis the season for festive-inspired Js, and this pair takes its cues from a classic Christmas tree—the Blue Spruce. Rich-grain leather and woven fabrics will elevate any streetwear outfit, while a buttery-soft interior and Air in the heel add soft comforts."
Nike Air Max Sol,Men's Sandals,"Air Max style gets a boost of vitamin D. These sunny sandals retain the visible Nike Air unit and plenty of padding while letting those toes be free. Plus, a mesh upper keeps you cool in both looks and feel. Strap in—it's time for fun."
Air Jordan 1 Retro High OG,Shoes,"Familiar but always fresh, the iconic Air Jordan 1 is remastered for today's sneakerhead culture. This Retro High OG version goes all in with premium leather, comfortable cushioning and classic design details."
Nike Air Force 1 Low x UNDEFEATED,Men's Shoes,"Rich patent leather and dazzling colours come together in a way only Nike and UNDEFEATED could. From the orange Swoosh to the nearly neon-pink toe—no 2 panels are alike. An orange and red woven tongue label serves as a nod to an early UNDEFEATED release, while the printed sockliner provides a hidden detail. With kicks like this on your feet, how can you not steal the show?"
Nike Zoom Rival Waffle 5,Athletics Distance Spikes,"Built to go the distance, the Nike Zoom Rival Waffle 5 has a long-lasting rubber sole with nubs for cross-country races. With soft mesh and durable overlays, this lightweight design helps keep you comfortable."
CR7,Older Kids' Short-Sleeve Football Top,"Cristiano Ronaldo = LEGEND. Rep one of the greatest footballers today with the CR7 football top. Made from fabric that helps keep sweat away, you can stay cool and dry while you warm up on the pitch, practise your skills and cheer on the game you love."
LeBron x Liverpool F.C.,Older Kids' Nike Dri-FIT Stadium Football Shirt,"Football and basketball collide in this breathable knit top. With a design inspired by LeBron James and Liverpool F.C., it celebrates the King's ownership stake in the Reds. Plus, sweat-wicking technology helps you stay as cool and focused as your favourite sports stars."
Nike Culture of Basketball,Older Kids' Reversible Basketball Shorts,"Hurry up and get your squad together ASAP! Team up and match with your best friends on the court in these mesh Nike Basketball shorts. What we love most: they're reversible, so you can change your team colours any time you like. We're ready to play, are you?"
Nike Culture of Basketball,Older Kids' Reversible Hoodie,"Do you love hoops? Whether you're a player or just a huge fan of the game and culture—you'll love this Nike basketball hoodie. It's made from fleece that can wick sweat away, so playing in it outside is no problem. What we love most: It's reversible, so it's like having 2 hoodies in 1. The message is clear: ""Ball for All"", which means it's designed for all types of ballers, like you."
Nike Dri-FIT,Older Kids' (Boys') Basketball Shorts,"Want shorts that will keep up with your crossovers and stepback jumpers? The Nike Dri-FIT Shorts let you do it all on the court without getting in your way. This lightweight, loose style is powered by sweat-wicking technology so you can go all out with confidence."
Nike Dri-FIT Performance,Older Kids' (Boys') Printed Training Top,"Make training and playtime even more exciting with this Nike Dri-FIT Performance Top. Made from fabric that helps you stay cool, you'll feel confident when working on your skills at the park or playing hide-and-seek with your buddies."
Nike,Older Kids' (Boys') Printed Training Shorts,"Make training and playtime even more exciting whenever you pull on these Nike shorts. Made from fabric that will help you stay cool, you'll feel confident and ready to play—whether it's tig with your buddies or working on your skills at the park."
Nike x LeBron,Older Kids' (Boys') Dri-FIT T-Shirt,"From the court to the playground, carry LeBron's motto with you wherever you go. This sweat-wicking tee is a constant reminder to ""Strive for Greatness""."
Nike Sportswear,Older Kids' (Boys') Woven Shorts,Shorts for playtime—or all the time! The Nike Sportswear Shorts are made from lightweight woven fabric that's versatile enough to go with all your favourite tees and tops.
Nike Sportswear,Older Kids' T-Shirt,"Proof that a classic can still be awesome. The Nike Sportswear tee is a staple in your weekly rotation, and the question is: how many colours do you want it in?"
Nike Sportswear,Older Kids' (Boys') Woven Utility Trousers,We hope you love pockets as much we do. These trousers give super-easy access to all your things (or treasures you discover!) with multiple pocket options. Can you find them all?
Nike Culture of Basketball,Older Kids' Tearaway Basketball Trousers,"Do you love hoops? Whether you're a player or a huge fan of the game and culture—these Nike Basketball trousers are for you. Inspired by throwback tearaways, press studs on the sides give off old-school vibes. Loose enough so you can also wear over your shorts is an option, too. We're ready to play, are you?"
Brazil 2022/23 Home,Younger Kids' Nike Dri-FIT Football Shirt,Future champions need the kit to match. This lightweight jersey creates a look inspired by the elite. Breathable fabric feels soft and helps keep sweat off their skin for lasting comfort.
Liverpool F.C. 2022/23 Home,Younger Kids' Football Kit,"Future champions need the kit to match. The Liverpool F.C. Kit includes a shirt, shorts and socks for a complete look inspired by the elite. Breathable fabric feels soft and helps keep sweat off their skin for all-day comfort. This product is made from 100% recycled polyester fibres."
Nike Dri-FIT Multi+,Older Kids' (Boys') Training Top,"A new season calls for new gear to play your favourite sports—or just playing for fun outside. Get started with the Nike Dri-FIT Multi+ active top. It's lightweight, breathable and helps sweat stay away. Stock up! How many colours do you want them in?"
Nike Air,Older Kids' Pullover Hoodie,"Look up hoodie in the dictionary and what do you see? An everyday staple that's soft, cosy and pairs with almost anything for an outfit made easy. Add a poof of Nike Air graphics, and you can't hit ""Add to Bag"" fast enough."
